ID,startDate,endDate,timeType,quantityInHours,quantityInDays,userId
d0f08c374ea1548232cdf4ab408228f0,2018-05-11T02:00:00+02:00,2018-05-15T02:00:00+02:00,TT_VAC_REC,25.2,3,900100
d0f08c374ea1548232cdf4ab408228f1,2018-08-27T02:00:00+02:00,2018-09-03T02:00:00+02:00,TT_VAC_REC,50.4,6,900100
d0f08c374ea1548232cdf4ab408228f2,2018-10-01T02:00:00+02:00,2018-10-03T02:00:00+02:00,TT_VAC_REC,25.2,3,900100
d0f08c374ea1548232cdf4ab408228eb,2019-06-06T02:00:00+02:00,2019-06-07T02:00:00+02:00,TT_VAC_REC,16.8,2,900100
d0f08c374ea1548232cdf4ab408228ec,2019-09-28T02:00:00+02:00,2019-10-02T02:00:00+02:00,TT_VAC_REC,25.2,3,900100
d0f08c374ea1548232cdf4ab408228ee,2019-10-06T02:00:00+02:00,2019-10-13T02:00:00+02:00,TT_VAC_REC,42,5,900100
d0f08c374ea1548232cdf4ab408228ed,2019-12-28T01:00:00+01:00,2020-01-04T01:00:00+01:00,TT_VAC_REC,42,5,900100
d0f08c374ea1548232cdf4ab408228ef,2020-05-04T02:00:00+02:00,2020-05-08T02:00:00+02:00,TT_VAC_REC,42,5,900100
d0f08c374ea1548232cdf4ab408228f4,2018-12-28T01:00:00+01:00,2019-01-01T01:00:00+01:00,TT_VAC_REC,25.2,3,900101
d0f08c374ea1548232cdf4ab408228e6,2019-01-05T01:00:00+01:00,2019-01-10T01:00:00+01:00,TT_VAC_REC,33.6,4,900101
d0f08c374ea1548232cdf4ab408228e7,2019-03-04T01:00:00+01:00,2019-03-15T01:00:00+01:00,TT_VAC_REC,84,10,900101
d0f08c374ea1548232cdf4ab408228e8,2019-06-24T02:00:00+02:00,2019-07-03T02:00:00+02:00,TT_VAC_REC,67.2,8,900101
d0f08c374ea1548232cdf4ab408228e9,2020-02-24T01:00:00+01:00,2020-03-04T01:00:00+01:00,TT_VAC_REC,168,20,900101
d0f08c374ea1548232cdf4ab408228ea,2020-03-31T02:00:00+02:00,2020-03-31T02:00:00+02:00,TT_VAC_REC,8.4,1,900101
d0f08c374ea1548232cdf4ab408228f6,2018-07-31T02:00:00+02:00,2018-08-02T02:00:00+02:00,TT_VAC_REC,25.2,3,900103
d0f08c374ea1548232cdf4ab408228f8,2018-10-29T01:00:00+01:00,2018-10-30T01:00:00+01:00,TT_VAC_REC,16.8,2,900103
d0f08c374ea1548232cdf4ab408228f7,2018-12-20T01:00:00+01:00,2019-01-05T01:00:00+01:00,TT_VAC_REC,84,10,900103
d0f08c374ea1548232cdf4ab408228f9,2019-07-15T02:00:00+02:00,2019-07-19T02:00:00+02:00,TT_VAC_REC,42,5,900103
d0f08c374ea1548232cdf4ab408228fa,2019-09-30T02:00:00+02:00,2019-10-04T02:00:00+02:00,TT_VAC_REC,42,5,900103
d0f08c374ea1548232cdf4ab408228fb,2019-10-28T01:00:00+01:00,2019-10-28T01:00:00+01:00,TT_VAC_REC,8.4,1,900103
